title_id,synopsis
TITLE_000000,A bone-chilling special where a marine biologist's deep-sea expedition surfaces a creature that should not exist. Produced by Disney (2009).
TITLE_000001,A slow-burn special where a seemingly routine investigation peels back layers of a community's darkest secrets. Produced by Netflix Studios (2020).
TITLE_000002,A thought-provoking series exploring the ethical fractures that open when deep-space colonization forces humanity to redefine citizenship. Produced by Disney (1987).
TITLE_000003,A visually stunning animated limited series about an unlikely band of heroes who must defend their enchanted homeland from an ancient darkness. Produced by Paramount (2013).
TITLE_000004,A taut series in which a forensic archivist realizes the cold cases stacking up on her desk share one terrifying pattern. Produced by Sony (2017).
TITLE_000005,A charming series centered on a chaotic workplace where every attempt to impose order results in glorious failure. Produced by Apple TV+ (1994).
TITLE_000006,A chilling psychological limited series in which a family discovers their renovated home was built atop the site of something unspeakable. Produced by Netflix Studios (2017).
TITLE_000007,A taut limited series in which a forensic archivist realizes the cold cases stacking up on her desk share one terrifying pattern. Produced by Warner Bros (2005).
TITLE_000008,A visually stunning animated film about an unlikely band of heroes who must defend their enchanted homeland from an ancient darkness. Produced by Paramount (2001).
TITLE_000009,A bold animated film that challenges the boundaries of the form while delivering a story full of wit and genuine emotion. Produced by Paramount (2025).
TITLE_000010,A nuanced documentary that examines the quiet cost of ambition and the unspoken sacrifices we make for the people we love. Produced by Warner Bros (2022).
TITLE_000011,A nuanced special that examines the quiet cost of ambition and the unspoken sacrifices we make for the people we love. Produced by Disney (2005).
TITLE_000012,A charming documentary centered on a chaotic workplace where every attempt to impose order results in glorious failure. Produced by Sony (2017).
TITLE_000013,"A heartfelt special about two strangers whose lives intersect at a critical crossroads, leading to unexpected and inconvenient love. Produced by Apple TV+ (2005)."
TITLE_000014,"A powerful film exploring the fractured bonds between family members as they navigate grief, guilt, and reconciliation. Produced by Netflix Studios (1992)."
TITLE_000015,A visionary science fiction series set in a near future where artificial intelligence has fundamentally reshaped what it means to be human. Produced by Sony (2019).
TITLE_000016,A pulse-pounding special where a covert operative races against time to prevent a global catastrophe. Produced by Apple TV+ (1988).
TITLE_000017,A suspenseful series about a cybersecurity analyst who uncovers a conspiracy that reaches the highest corridors of power. Produced by Netflix Studios (2004).
TITLE_000018,A witty series about a small-town dreamer who accidentally becomes the most controversial person in a major city. Produced by Sony (1989).
TITLE_000019,A sharp satirical limited series skewering corporate culture through the eyes of the most reluctant middle manager alive. Produced by Universal (2001).
TITLE_000020,An imaginative animated special that takes a young protagonist on a breathtaking journey through a world governed by forgotten magic. Produced by Paramount (2003).
TITLE_000021,"A powerful series exploring the fractured bonds between family members as they navigate grief, guilt, and reconciliation. Produced by Sony (1991)."
TITLE_000022,"A sweeping romance spanning three decades, exploring how first love quietly shapes every significant decision that follows. Produced by Apple TV+ (1980)."
TITLE_000023,A nuanced limited series that examines the quiet cost of ambition and the unspoken sacrifices we make for the people we love. Produced by Disney (2002).
TITLE_000024,"A sweeping romance spanning three decades, exploring how first love quietly shapes every significant decision that follows. Produced by Warner Bros (2012)."
TITLE_000025,A tender special in which two people who built walls against vulnerability slowly and reluctantly dismantle them together. Produced by Universal (2020).
TITLE_000026,A nuanced documentary that examines the quiet cost of ambition and the unspoken sacrifices we make for the people we love. Produced by Sony (2009).
TITLE_000027,A terrifying limited series following a group of strangers stranded in a remote wilderness as something ancient and patient closes in. Produced by Warner Bros (2021).
